epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36371,1.23816,5.29949,1.54782,0,0,0,0,0.9603,7.08528,1.44526,0,0,0
2,18.3983,1.24589,4.60585,1.56588,0,0,0,0,0.92639,6.85668,1.41636,1.23763e-05,1.23763e-05,1.23763e-05
3,28.2224,1.34385,4.97913,1.56028,0,0,0,0,0.87824,6.22235,1.33659,2.4505e-05,2.4505e-05,2.4505e-05
4,39.9742,0.92348,4.06223,1.25478,0.01724,0.25,0.0869,0.07821,0.78946,5.66927,1.20943,3.63862e-05,3.63862e-05,3.63862e-05
5,56.8721,1.0709,3.33036,1.40659,0.96439,0.25,0.25114,0.22603,0.74484,4.91568,1.13127,4.802e-05,4.802e-05,4.802e-05
6,92.7891,0.75716,2.97966,1.26001,0.98162,0.25,0.27528,0.24283,0.73344,4.3706,1.07539,5.94062e-05,5.94062e-05,5.94062e-05
7,106.507,0.66652,2.78506,0.99439,0.91761,0.25,0.45179,0.37841,0.68546,4.18221,0.99315,7.0545e-05,7.0545e-05,7.0545e-05
8,117.299,0.69974,2.78235,1.06703,0.75292,0.25,0.795,0.61133,0.68926,4.51031,0.95852,8.14362e-05,8.14362e-05,8.14362e-05
9,127.09,0.73128,2.30697,1.10334,0.74532,0.25,0.42743,0.37225,0.64573,4.37857,0.93678,9.208e-05,9.208e-05,9.208e-05
10,138.391,0.64596,1.75676,1.08136,0.88115,0.25,0.33067,0.29097,0.57509,4.12574,0.92936,0.000102476,0.000102476,0.000102476
11,148.281,0.76377,1.92125,1.22896,0.87239,0.25,0.30527,0.29994,0.44038,4.07757,0.90281,0.000112625,0.000112625,0.000112625
12,156.994,0.61068,1.75467,1.04531,0.94328,0.25,0.32793,0.32047,0.37559,4.01947,0.88996,0.000122526,0.000122526,0.000122526
13,165.706,0.5536,1.92618,0.97495,0.95486,0.25,0.41733,0.40489,0.41783,3.99146,0.8858,0.00013218,0.00013218,0.00013218
14,176.763,0.59063,1.39396,1.00889,0.26946,0.97658,0.48476,0.46162,0.43569,4.31019,0.872,0.000141586,0.000141586,0.000141586
15,188.373,0.56042,1.89042,1.06615,0.32479,0.96395,0.51333,0.48746,0.43625,4.54988,0.85967,0.000150745,0.000150745,0.000150745
16,199.186,0.6564,1.68426,1.00028,0.32963,0.48889,0.53854,0.48469,0.48389,4.64956,0.87031,0.000159656,0.000159656,0.000159656
17,211.384,0.65018,2.10025,1.13482,0.32642,0.47925,0.47635,0.45408,0.4709,4.16022,0.87187,0.00016832,0.00016832,0.00016832
18,225.644,0.61153,1.60642,1.03695,0.32642,0.47925,0.47635,0.45408,0.4709,4.16022,0.87187,0.000176736,0.000176736,0.000176736
19,236.588,0.54144,1.73576,1.10164,0.97268,0.25,0.34996,0.34005,0.43955,3.74729,0.85943,0.000184905,0.000184905,0.000184905
20,247.478,0.50175,1.53432,0.99099,0.97268,0.25,0.34996,0.34005,0.43955,3.74729,0.85943,0.000192826,0.000192826,0.000192826
21,257.162,0.7174,2.21639,1.14744,0.97235,0.25,0.3475,0.33817,0.53093,3.69365,0.88262,0.0002005,0.0002005,0.0002005
22,270.481,0.74601,1.39333,1.08494,0.97235,0.25,0.3475,0.33817,0.53093,3.69365,0.88262,0.000207926,0.000207926,0.000207926
23,281.492,0.63917,1.60914,1.08037,0.97114,0.25,0.3475,0.33808,0.5794,3.64477,0.90624,0.000215105,0.000215105,0.000215105
24,291.233,0.71869,1.95185,1.15691,0.97114,0.25,0.3475,0.33808,0.5794,3.64477,0.90624,0.000222036,0.000222036,0.000222036
25,300.353,0.62193,1.63104,1.10506,0.97649,0.25,0.33083,0.31551,0.60618,3.47562,0.92164,0.00022872,0.00022872,0.00022872
26,307.792,0.43191,1.63572,0.9616,0.97649,0.25,0.33083,0.31551,0.60618,3.47562,0.92164,0.000235156,0.000235156,0.000235156
27,316.228,0.76075,1.46578,1.22096,0.97705,0.25,0.33083,0.32311,0.60965,3.43142,0.93182,0.000241345,0.000241345,0.000241345
28,324.738,0.72957,1.18455,1.13355,0.97705,0.25,0.33083,0.32311,0.60965,3.43142,0.93182,0.000247286,0.000247286,0.000247286
29,549.059,0.59694,1.26202,1.09174,0.76389,0.5,0.42219,0.38853,0.55518,3.45302,0.91937,0.00025298,0.00025298,0.00025298
30,559.537,0.84024,1.55616,1.20004,0.76389,0.5,0.42219,0.38853,0.55518,3.45302,0.91937,0.000258426,0.000258426,0.000258426
31,568.071,0.60139,0.96041,0.915,0.81803,0.5,0.46392,0.42129,0.47139,3.17245,0.87774,0.000263625,0.000263625,0.000263625
32,575.605,0.52243,1.07135,0.96833,0.81803,0.5,0.46392,0.42129,0.47139,3.17245,0.87774,0.000268576,0.000268576,0.000268576
33,583.621,0.68674,1.1889,1.13841,0.74316,0.5,0.38713,0.35496,0.49048,3.39333,0.86619,0.00027328,0.00027328,0.00027328
34,590.983,0.68991,1.04015,1.11662,0.74316,0.5,0.38713,0.35496,0.49048,3.39333,0.86619,0.000277736,0.000277736,0.000277736
35,1585.69,0.49669,0.74914,0.90997,0.77086,0.5,0.41699,0.3838,0.54636,3.28008,0.8911,0.000281945,0.000281945,0.000281945
36,1593.79,0.58902,1.2051,1.06783,0.77086,0.5,0.41699,0.3838,0.54636,3.28008,0.8911,0.000285906,0.000285906,0.000285906
37,1603.48,0.55716,1.02083,0.97766,0.83128,0.5,0.4975,0.47274,0.54356,3.08513,0.89474,0.00028962,0.00028962,0.00028962
38,1611.43,0.56067,0.92129,1.01362,0.83128,0.5,0.4975,0.47274,0.54356,3.08513,0.89474,0.000293086,0.000293086,0.000293086
39,1625.66,0.58608,0.91414,0.96432,0.97604,0.5,0.4975,0.47271,0.53879,2.87226,0.89752,0.000296305,0.000296305,0.000296305
40,1640.58,0.74203,1.20329,1.17214,0.97604,0.5,0.4975,0.47271,0.53879,2.87226,0.89752,0.000299276,0.000299276,0.000299276
41,1653.15,0.52862,0.94608,1.01627,0.98377,0.5,0.4975,0.44775,0.54073,2.75296,0.92479,0.000302,0.000302,0.000302
42,1666.39,0.62991,1.09782,0.95885,0.98377,0.5,0.4975,0.44775,0.54073,2.75296,0.92479,0.000304476,0.000304476,0.000304476
43,1678.15,0.46153,0.87132,1.02656,0.98349,0.5,0.4975,0.44775,0.56735,2.61063,0.93983,0.000306705,0.000306705,0.000306705
44,1684.96,0.74765,1.14028,0.97686,0.98349,0.5,0.4975,0.44775,0.56735,2.61063,0.93983,0.000308686,0.000308686,0.000308686
45,1692.97,0.5685,0.89082,1.00332,0.9877,0.5,0.4975,0.44775,0.55612,2.34085,0.91029,0.00031042,0.00031042,0.00031042
